Rider_ID,Year,Age,TDF_Pos,Best_Pos_BT_UWT,Best_Pos_BT_PT,Best_Pos_AT_UWT_YB,Best_Pos_AT_PT_YB,Best_Pos_UWT_YB,Best_Pos_PT_YB,FC_Points_YB,FC_Pos_YB,best_tdf_result,best_other_gt_result,best_recent_tdf_result,best_recent_other_gt_result,tdf_debut,gt_debut,rode_giro,FC_Points,FC_Pos,Best_Pos_AT_UWT,Best_Pos_AT_PT,Best_Pos_UWT,Best_Pos_PT,Best_Pos_BT_UWT_YB,Best_Pos_BT_PT_YB
5,2011,31,DNF,64.0,39.0,,,,,0.0,1,8.0,3.0,22.0,15.0,,,1.0,93.0,121,111.0,,64.0,39.0,,
5,2012,32,76.0,86.0,24.0,111.0,,64.0,39.0,93.0,120,8.0,3.0,40.0,15.0,,,0.0,65.0,153,,,86.0,24.0,64.0,39.0
5,2013,33,,67.0,42.0,,,86.0,24.0,65.0,149,,,,,,,,106.0,134,71.0,51.0,67.0,42.0,86.0,24.0
5,2014,34,,65.0,32.0,71.0,51.0,67.0,42.0,106.0,129,,,,,,,,49.0,167,98.0,,65.0,32.0,67.0,42.0
5,2015,35,,92.0,68.0,98.0,,65.0,32.0,49.0,162,,,,,,,,0.0,184,95.0,66.0,92.0,66.0,65.0,32.0
5,2016,36,,109.0,86.0,95.0,66.0,92.0,66.0,0.0,178,,,,,,,,0.0,177,,,109.0,86.0,92.0,68.0
10,2011,38,56.0,30.0,22.0,,,,,0.0,1,14.0,110.0,18.0,,,,0.0,370.0,64,,,30.0,22.0,,
10,2012,39,38.0,42.0,15.0,,,30.0,22.0,370.0,63,14.0,110.0,18.0,,,,0.0,80.0,148,,40.0,42.0,15.0,30.0,22.0
12,2011,30,119.0,90.0,15.0,,,,,0.0,1,62.0,,62.0,,,,0.0,1557.0,8,999.0,,90.0,15.0,,
12,2012,31,DNF,98.0,7.0,DNF,,90.0,15.0,1557.0,8,62.0,,90.0,,,,0.0,1130.0,12,,,98.0,7.0,90.0,15.0
12,2013,32,,71.0,44.0,,,98.0,7.0,1130.0,12,,,,,,,,1549.0,7,68.0,54.0,68.0,44.0,98.0,7.0
12,2014,33,DNF,51.0,31.0,68.0,54.0,68.0,44.0,1549.0,7,62.0,,119.0,,,,0.0,1396.0,11,999.0,,51.0,31.0,71.0,44.0
12,2015,34,DNF,52.0,59.0,DNF,,51.0,31.0,1396.0,11,62.0,,,,,,0.0,518.0,48,999.0,,52.0,59.0,51.0,31.0
12,2016,35,DNF,60.0,7.0,DNF,,52.0,59.0,518.0,48,62.0,,,,,,1.0,1290.0,12,,,60.0,7.0,52.0,59.0
14,2011,26,130.0,125.0,,,,,,0.0,1,130.0,132.0,130.0,132.0,,,1.0,1591.0,6,999.0,,125.0,,,
14,2012,27,142.0,145.0,6.0,DNF,,125.0,,1591.0,6,130.0,132.0,130.0,144.0,,,1.0,1458.0,7,,78.0,145.0,6.0,125.0,
14,2013,28,148.0,127.0,1.0,,78.0,145.0,6.0,1458.0,7,130.0,127.0,130.0,144.0,,,1.0,2108.0,3,,7.0,127.0,1.0,145.0,6.0
