Year,Pos,Race,rider_id
2016,44,Giro d'Italia,149
2015,DNF,Giro d'Italia,149
2014,76,Vuelta a España,149
2014,19,Giro d'Italia,149
2013,55,Tour de France,149
2012,33,Vuelta a España,149
2012,6,Giro d'Italia,149
2011,7,Tour de France,149
2010,29,Tour de France,149
2010,11,Giro d'Italia,149
2009,DNF,Vuelta a España,149
2009,19,Giro d'Italia,149
2008,DNF,Vuelta a España,149
2008,DNF,Tour de France,149
2007,DNF,Vuelta a España,149
2007,5,Giro d'Italia,149
2006,11,Tour de France,149
2006,4,Giro d'Italia,149
2005,18,Giro d'Italia,149
2004,16,Vuelta a España,149
2004,1,Giro d'Italia,149
2003,34,Giro d'Italia,149
2016,13,Vuelta a España,1151
2016,DNF,Giro d'Italia,1151
2015,61,Tour de France,1151
2014,2,Tour de France,1151
2013,DNF,Tour de France,1151
2012,44,Tour de France,1151
2011,10,Tour de France,1151
2010,39,Vuelta a España,1151
2016,75,Tour de France,99
2015,DNF,Vuelta a España,99
2015,DNF,Tour de France,99
2014,31,Vuelta a España,99
2013,40,Vuelta a España,99
2013,63,Tour de France,99
2012,21,Tour de France,99
2011,14,Tour de France,99
2009,DNF,Tour de France,99
2017,52,Tour de France,87
2016,19,Vuelta a España,87
2016,24,Tour de France,87
2015,23,Vuelta a España,87
2015,62,Tour de France,87
2014,DNF,Vuelta a España,87
2014,8,Tour de France,87
2013,DNF,Vuelta a España,87
2013,36,Tour de France,87
2012,6,Tour de France,87
2011,25,Vuelta a España,87
2011,16,Tour de France,87
2009,14,Vuelta a España,87
2009,26,Tour de France,87
2008,42,Tour de France,87
2007,44,Vuelta a España,87
2007,5,Tour de France,87
2006,34,Vuelta a España,87
2006,8,Tour de France,87
2005,15,Tour de France,87
2005,49,Giro d'Italia,87
2004,40,Vuelta a España,87
2004,DNF,Tour de France,87
2003,5,Tour de France,87
2002,11,Vuelta a España,87
2002,39,Tour de France,87
2001,43,Vuelta a España,87
2001,73,Tour de France,87
2000,10,Vuelta a España,87
2013,54,Giro d'Italia,936
2012,DNF,Vuelta a España,936
2012,DNF,Tour de France,936
2011,21,Tour de France,936
2019,47,Giro d'Italia,186
2018,26,Vuelta a España,186
2018,20,Giro d'Italia,186
2017,19,Giro d'Italia,186
2016,11,Giro d'Italia,186
2015,42,Giro d'Italia,186
2014,54,Vuelta a España,186
2014,16,Giro d'Italia,186
2013,34,Tour de France,186
2013,32,Giro d'Italia,186
2012,DNF,Tour de France,186
2012,16,Giro d'Italia,186
2011,22,Tour de France,186
2011,12,Giro d'Italia,186
2010,55,Vuelta a España,186
2010,20,Giro d'Italia,186
2009,32,Tour de France,186
2008,32,Vuelta a España,186
2008,52,Tour de France,186
2007,17,Vuelta a España,186
2007,25,Giro d'Italia,186
2006,40,Vuelta a España,186
2006,32,Giro d'Italia,186
2014,60,Giro d'Italia,482
2013,62,Vuelta a España,482
2013,65,Giro d'Italia,482
2012,DNF,Tour de France,482
2011,23,Tour de France,482
2010,17,Vuelta a España,482
2008,45,Giro d'Italia,482
2007,37,Tour de France,482
2006,23,Vuelta a España,482
2004,93,Vuelta a España,482
2013,63,Vuelta a España,61
2013,64,Giro d'Italia,61
2012,11,Vuelta a España,61
2012,DNF,Tour de France,61
2011,36,Vuelta a España,61
2011,25,Tour de France,61
2010,84,Vuelta a España,61
2010,36,Tour de France,61
2009,60,Tour de France,61
2008,70,Tour de France,61
2007,47,Tour de France,61
2006,74,Tour de France,61
2005,68,Giro d'Italia,61
2024,52,Vuelta a España,41
2024,DNF,Giro d'Italia,41
2023,52,Vuelta a España,41
2022,41,Vuelta a España,41
2021,62,Vuelta a España,41
2021,DNF,Tour de France,41
2020,35,Vuelta a España,41
2020,42,Tour de France,41
2019,27,Vuelta a España,41
2018,31,Tour de France,41
2018,23,Giro d'Italia,41
2017,DNF,Tour de France,41
2016,34,Vuelta a España,41
2015,6,Tour de France,41
2014,DNF,Vuelta a España,41
2013,26,Tour de France,41
2013,DNF,Giro d'Italia,41
2012,6,Vuelta a España,41
2012,DNF,Tour de France,41
2011,33,Tour de France,41
2010,6,Tour de France,41
2009,6,Vuelta a España,41
2009,DNF,Tour de France,41
2008,7,Vuelta a España,41
2013,30,Vuelta a España,57
2013,22,Giro d'Italia,57
2012,17,Tour de France,57
2011,55,Vuelta a España,57
2011,34,Tour de France,57
