YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2011,23.01-01.02,2.HC,Tour de Langkawi,Y. Monsalve,https://firstcycling.com/race.php?r=128&y=2011
2011,26.02,1.HC,Omloop Nieuwsblad,S. Langeveld,https://firstcycling.com/race.php?r=53&y=2011
2011,26.03-27.03,2.HC,Critérium International,F. Schleck,https://firstcycling.com/race.php?r=55&y=2011
2011,26.03,1.HC,E3 Saxo Classic,F. Cancellara,https://firstcycling.com/race.php?r=47&y=2011
2011,29.03-31.03,2.HC,Classic Brugge-De Panne,S. Rosseler,https://firstcycling.com/race.php?r=40&y=2011
2011,02.04,1.HC,GP Miguel Indurain,S. Sánchez,https://firstcycling.com/race.php?r=48&y=2011
2011,06.04,1.HC,Scheldeprijs,M. Cavendish,https://firstcycling.com/race.php?r=56&y=2011
2011,13.04,1.HC,Brabantse Pijl,P. Gilbert,https://firstcycling.com/race.php?r=77&y=2011
2011,19.04-22.04,2.HC,Tour of the Alps,M. Scarponi,https://firstcycling.com/race.php?r=62&y=2011
2011,24.04-01.05,2.HC,Tour of Türkiye,A. Efimkin,https://firstcycling.com/race.php?r=152&y=2011
2011,01.05,1.HC,Eschborn-Frankfurt,J. Degenkolb,https://firstcycling.com/race.php?r=35&y=2011
2011,04.05-08.05,2.HC,4 Jours de Dunkerque,T. Voeckler,https://firstcycling.com/race.php?r=175&y=2011
2011,15.05-22.05,2.HC,Tour of California,C. Horner,https://firstcycling.com/race.php?r=30&y=2011
2011,25.05-29.05,2.HC,Bayern Rundfahrt,G. Thomas,https://firstcycling.com/race.php?r=39&y=2011
2011,25.05-29.05,2.HC,Belgium Tour,P. Gilbert,https://firstcycling.com/race.php?r=60&y=2011
2011,01.06-05.06,2.HC,Tour de Luxembourg,L. Gerdemann,https://firstcycling.com/race.php?r=37&y=2011
2011,05.06,1.HC,Philly Cycling Classic,A. Rasmussen,https://firstcycling.com/race.php?r=265&y=2011
2011,02.07-10.07,2.HC,Tour of Qinghai Lake,G. Gazvoda,https://firstcycling.com/race.php?r=127&y=2011
2011,03.07-10.07,2.HC,Tour of Austria,F. Kessiakoff,https://firstcycling.com/race.php?r=38&y=2011
2011,23.07-27.07,2.HC,Tour de Wallonie,G. Van Avermaet,https://firstcycling.com/race.php?r=193&y=2011
2011,03.08-07.08,2.HC,PostNord Tour of Denmark,S. Gerrans,https://firstcycling.com/race.php?r=32&y=2011
2011,03.08-07.08,2.HC,Vuelta a Burgos,J. Rodríguez,https://firstcycling.com/race.php?r=192&y=2011
2011,16.08-19.08,2.HC,Tour du Limousin,B. Leukemans,https://firstcycling.com/race.php?r=191&y=2011
2011,16.08,1.HC,Tre Valli Varesine,D. Rebellin,https://firstcycling.com/race.php?r=190&y=2011
2011,10.09,1.HC,Brussels Classic,D. Galimzyanov,https://firstcycling.com/race.php?r=64&y=2011
2011,11.09,1.HC,GP de Fourmies,G. Blot,https://firstcycling.com/race.php?r=92&y=2011
2011,02.10,1.HC,Tour de Vendée,M. Marcato,https://firstcycling.com/race.php?r=94&y=2011
2011,08.10,1.HC,Giro dell'Emilia,C. Betancur,https://firstcycling.com/race.php?r=29&y=2011
2011,09.10,1.HC,Paris - Tours,G. Van Avermaet,https://firstcycling.com/race.php?r=28&y=2011
2011,13.10,1.HC,Gran Piemonte,D. Moreno,https://firstcycling.com/race.php?r=61&y=2011
2011,20.10-28.10,2.HC,Tour of Hainan,V. Iglinskiy,https://firstcycling.com/race.php?r=139&y=2011
2011,23.10,1.HC,Japan Cup,N. Haas,https://firstcycling.com/race.php?r=95&y=2011
2012,05.02-10.02,2.HC,Tour of Qatar,T. Boonen,https://firstcycling.com/race.php?r=51&y=2012
2012,14.02-19.02,2.HC,Tour of Oman,P. Velits,https://firstcycling.com/race.php?r=57&y=2012
2012,24.02-04.03,2.HC,Tour de Langkawi,J. Serpa,https://firstcycling.com/race.php?r=128&y=2012
2012,25.02,1.HC,Omloop Nieuwsblad,S. Vanmarcke,https://firstcycling.com/race.php?r=53&y=2012
2012,26.02,1.HC,Clasica de Almeria,M. Matthews,https://firstcycling.com/race.php?r=129&y=2012
2012,24.03-25.03,2.HC,Critérium International,C. Evans,https://firstcycling.com/race.php?r=55&y=2012
2012,27.03-29.03,2.HC,Classic Brugge-De Panne,S. Chavanel,https://firstcycling.com/race.php?r=40&y=2012
2012,31.03,1.HC,GP Miguel Indurain,D. Moreno,https://firstcycling.com/race.php?r=48&y=2012
2012,04.04,1.HC,Scheldeprijs,M. Kittel,https://firstcycling.com/race.php?r=56&y=2012
2012,11.04,1.HC,Brabantse Pijl,T. Voeckler,https://firstcycling.com/race.php?r=77&y=2012
2012,17.04-20.04,2.HC,Tour of the Alps,D. Pozzovivo,https://firstcycling.com/race.php?r=62&y=2012
2012,22.04-29.04,2.HC,Tour of Türkiye,I. Gabrovski,https://firstcycling.com/race.php?r=152&y=2012
2012,01.05,1.HC,Eschborn-Frankfurt,M. Moser,https://firstcycling.com/race.php?r=35&y=2012
2012,04.05-08.05,2.HC,4 Jours de Dunkerque,J. Engoulvent,https://firstcycling.com/race.php?r=175&y=2012
2012,13.05-20.05,2.HC,Tour of California,R. Gesink,https://firstcycling.com/race.php?r=30&y=2012
2012,23.05-27.05,2.HC,Bayern Rundfahrt,M. Rogers,https://firstcycling.com/race.php?r=39&y=2012
2012,23.05-27.05,2.HC,Belgium Tour,T. Martin,https://firstcycling.com/race.php?r=60&y=2012
2012,30.05-03.06,2.HC,Tour de Luxembourg,J. Fuglsang,https://firstcycling.com/race.php?r=37&y=2012
2012,03.06,1.HC,Philly Cycling Classic,A. Serebryakov,https://firstcycling.com/race.php?r=265&y=2012
2012,29.06-12.07,2.HC,Tour of Qinghai Lake,H. Alizadeh,https://firstcycling.com/race.php?r=127&y=2012
2012,01.07-08.07,2.HC,Tour of Austria,J. Fuglsang,https://firstcycling.com/race.php?r=38&y=2012
2012,21.07-25.07,2.HC,Tour de Wallonie,G. Nizzolo,https://firstcycling.com/race.php?r=193&y=2012
2012,01.08-05.08,2.HC,Vuelta a Burgos,D. Moreno,https://firstcycling.com/race.php?r=192&y=2012
2012,14.08-17.08,2.HC,Tour du Limousin,Y. Arashiro,https://firstcycling.com/race.php?r=191&y=2012
