YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2011,18.01-23.01,2.UWT,Tour Down Under,C. Meyer,https://firstcycling.com/race.php?r=1&y=2011
2011,06.03-13.03,2.UWT,Paris-Nice,T. Martin,https://firstcycling.com/race.php?r=2&y=2011
2011,09.03-15.03,2.UWT,Tirreno-Adriatico,C. Evans,https://firstcycling.com/race.php?r=3&y=2011
2011,19.03,1.UWT,Milano-Sanremo,M. Goss,https://firstcycling.com/race.php?r=4&y=2011
2011,21.03-27.03,2.UWT,Volta Catalunya,A. Contador,https://firstcycling.com/race.php?r=14&y=2011
2011,27.03,1.UWT,Gent - Wevelgem,T. Boonen,https://firstcycling.com/race.php?r=7&y=2011
2011,03.04,1.UWT,Ronde van Vlaanderen,N. Nuyens,https://firstcycling.com/race.php?r=5&y=2011
2011,04.04-09.04,2.UWT,Itzulia Basque Country,A. Klöden,https://firstcycling.com/race.php?r=6&y=2011
2011,10.04,1.UWT,Paris-Roubaix,J. Vansummeren,https://firstcycling.com/race.php?r=8&y=2011
2011,17.04,1.UWT,Amstel Gold Race,P. Gilbert,https://firstcycling.com/race.php?r=9&y=2011
2011,20.04,1.UWT,La Flèche Wallonne,P. Gilbert,https://firstcycling.com/race.php?r=10&y=2011
2011,24.04,1.UWT,Liège-Bastogne-Liège,P. Gilbert,https://firstcycling.com/race.php?r=11&y=2011
2011,26.04-01.05,2.UWT,Tour de Romandie,C. Evans,https://firstcycling.com/race.php?r=12&y=2011
2011,07.05-29.05,2.UWT,Giro d'Italia,R. DSQ,https://firstcycling.com/race.php?r=13&y=2011
2011,05.06-12.06,2.UWT,Critérium du Dauphiné,B. Wiggins,https://firstcycling.com/race.php?r=15&y=2011
2011,11.06-19.06,2.UWT,Tour de Suisse,L. Leipheimer,https://firstcycling.com/race.php?r=16&y=2011
2011,02.07-24.07,2.UWT,Tour de France,C. Evans,https://firstcycling.com/race.php?r=17&y=2011
2011,30.07,1.UWT,San Sebastian Klasikoa,P. Gilbert,https://firstcycling.com/race.php?r=18&y=2011
2011,31.07-06.08,2.UWT,Tour de Pologne,P. Sagan,https://firstcycling.com/race.php?r=19&y=2011
2011,08.08-14.08,2.UWT,Renewi Tour,E. Boasson-Hagen,https://firstcycling.com/race.php?r=21&y=2011
