index,Pos,Rider,Born,Nation,Team,Points,rider_id,Year
11,11,Cooke  Baden,1978,Australia,La Française des Jeux,1778,388,2002
37,37,Moncoutié  David,1975,France,Cofidis,1117,63,2002
56,56,O'Grady  Stuart,1973,Australia,Crédit Agricole,927,15,2002
59,59,Hincapie  George,1973,USA,US Postal Service,923,10,2002
60,59,Cancellara  Fabian,1981,Switzerland,Mapei - Quick Step - Latexco,923,12,2002
74,74,Millar  David,1977,Great Britain,Cofidis,837,43,2002
85,85,Pellizotti  Franco,1978,Italy,Alessio,803,134,2002
87,87,Chavanel  Sylvain,1979,France,Bonjour,800,167,2002
96,95,Hushovd  Thor,1978,Norway,Crédit Agricole,768,118,2002
100,100,Hondo  Danilo,1974,Germany,Team Telekom,759,282,2002
103,103,Zubeldia  Haimar,1977,Spain,Euskaltel-Euskadi,730,87,2002
116,116,Horrach  Joan,1974,Spain,Milaneza - MSS,686,74,2002
120,120,Popovych  Yaroslav,1980,Ukraine,Landbouwkrediet - Colnago,667,5,2002
212,212,Scarponi  Michele,1979,Italy,Acqua e Sapone - Cantina Tollo,462,27,2002
243,243,Sørensen  Nicki,1975,Denmark,Team CSC - Tiscali,418,16,2002
298,298,Eisel  Bernhard,1981,Austria,Mapei - Quick Step - Latexco,348,93,2002
311,309,Noval  Benjamin,1979,Spain,Colchon Relax - Fuenlabrada,334,734,2002
325,325,Pineau  Jérôme,1980,France,Bonjour,319,182,2002
351,351,Tiralongo  Paolo,1977,Italy,Fassa Bortolo,303,359,2002
358,357,Kroon  Karsten,1976,Netherlands,Rabobank,297,248,2002
428,428,Weening  Pieter,1981,Netherlands,Rabobank TT3,238,300,2002
480,480,Rodríguez  Joaquim,1979,Spain,ONCE - Eroski,206,246,2002
528,528,Steegmans  Gert,1980,Belgium,,184,175,2002
531,531,Cunego  Damiano,1981,Italy,Saeco - Longoni Sport,183,149,2002
566,566,Kashechkin  Andrey,1980,Kazakhstan,Domo - Farm Frites,170,250,2002
632,632,Brutt  Pavel,1982,Russia,Itera,144,557,2002
644,644,Wiggins  Bradley,1980,Great Britain,La Française des Jeux,140,47,2002
676,675,Pate  Danny,1979,USA,Prime Alliance Cycling Team,130,50,2002
725,725,Szmyd  Sylwester,1978,Poland,Tacconi Sport - Emmegi,119,360,2002
747,747,Gusev  Vladimir,1982,Russia,,114,482,2002
775,774,Zabriskie  David,1979,USA,US Postal Service,109,48,2002
797,797,Arroyo  David,1980,Spain,ONCE - Eroski,103,109,2002
801,797,Arroyo  David,1980,Spain,ONCE - Eroski,103,109,2002
858,855,Engels  Addy,1977,Netherlands,Rabobank,93,753,2002
864,863,Coyot  Arnaud,1980,France,C.C.Nogent-sur-Oise,92,115,2002
877,877,Gerrans  Simon,1980,Australia,,89,339,2002
895,889,Sutherland  Rory,1982,Australia,Rabobank TT3,87,1206,2002
917,915,Lancaster  Brett,1979,Australia,iTeamNova.com,84,128,2002
925,924,Horner  Chris,1971,USA,Prime Alliance Cycling Team,82,323,2002
970,969,Ten Dam  Laurens,1980,Netherlands,Rabobank TT3,74,80,2002
1012,1008,Charteau  Anthony,1979,France,Bonjour,68,677,2002
1023,1019,Mori  Manuele,1980,Italy,Perutnina Ptuj - Krka,67,492,2002
1090,1090,Bozic  Borut,1980,Slovenia,,58,387,2002
1106,1106,Vandborg  Brian,1981,Denmark,,56,135,2002
1114,1113,Willems  Frederik,1979,Belgium,Mapei - Quick Step - Latexco,55,137,2002
1245,1241,Paulinho  Sergio,1980,Portugal,ASC - Vila do Conde,42,88,2002
1259,1254,Muravyev  Dmitriy,1979,Kazakhstan,Mapei - Quick Step - Latexco,41,90,2002
1284,1278,Posthuma  Joost,1981,Netherlands,Rabobank TT3,39,79,2002
1308,1299,Martinez  Egoi,1978,Spain,Euskaltel-Euskadi,38,57,2002
1381,1380,Cantwell  Jonathan,1982,Australia,,34,1912,2002
1401,1395,Cobo  Juan José,1981,Spain,,33,288,2002
1427,1418,Zandio  Xabier,1977,Spain,iBanesto.com,32,113,2002
1455,1455,Roy  Jérémy,1983,France,,30,106,2002
1461,1455,Gène  Yohann,1981,France,Vendee U - Pays de la Loire,30,904,2002
1483,1483,Cummings  Steve,1981,Great Britain,,28,271,2002
1541,1522,López  David,1981,Spain,Café Baqué,26,336,2002
1553,1553,Fischer  Murilo,1979,Brazil,,25,130,2002
1615,1615,Renshaw  Mark,1982,Australia,,23,97,2002
1638,1636,Longo Borghini  Paolo,1980,Italy,,22,566,2002
1689,1688,Kiryienka  Vasil,1981,Belarus,,20,402,2002
1864,1865,Burghardt  Marcus,1983,Germany,,15,92,2002
2058,2025,Verdugo  Gorka,1978,Spain,Caja Rural,12,61,2002
2601,2576,Clement  Stef,1982,Netherlands,,5,81,2002
3728,19,Cooke  Baden,1978,Australia,Fdjeux.com,1498,388,2003
3733,24,Popovych  Yaroslav,1980,Ukraine,Landbouwkrediet,1386,5,2003
3734,25,O'Grady  Stuart,1973,Australia,Crédit Agricole,1363,15,2003
3738,29,Chavanel  Sylvain,1979,France,Brioches La Boulangère,1290,167,2003
3740,30,Millar  David,1977,Great Britain,Cofidis,1271,43,2003
3753,44,Zubeldia  Haimar,1977,Spain,Euskaltel-Euskadi,1050,87,2003
3765,56,Moncoutié  David,1975,France,Cofidis,909,63,2003
3774,65,Hushovd  Thor,1978,Norway,Crédit Agricole,880,118,2003
3776,67,Scarponi  Michele,1979,Italy,Domina Vacanze - Elitron,877,27,2003
3780,71,Eisel  Bernhard,1981,Austria,Fdjeux.com,846,93,2003
3802,93,Hondo  Danilo,1974,Germany,Team Telekom,747,282,2003
3821,112,Rodríguez  Joaquim,1979,Spain,ONCE - Eroski,675,246,2003
3823,114,Pineau  Jérôme,1980,France,Brioches La Boulangère,668,182,2003
3834,125,Cancellara  Fabian,1981,Switzerland,Fassa Bortolo,631,12,2003
3869,160,Pellizotti  Franco,1978,Italy,Alessio,548,134,2003
3963,254,Horrach  Joan,1974,Spain,Milaneza - MSS,390,74,2003
3968,259,Noval  Benjamin,1979,Spain,Colchon Relax - Fuenlabrada,387,734,2003
3984,275,Cunego  Damiano,1981,Italy,Saeco,366,149,2003
3987,278,Hincapie  George,1973,USA,US Postal p/b Berry Floor,363,10,2003
3996,287,Horner  Chris,1971,USA,Saturn,352,323,2003
4027,318,Posthuma  Joost,1981,Netherlands,Rabobank TT3,319,79,2003
4041,332,Weening  Pieter,1981,Netherlands,Rabobank TT3,306,300,2003
4114,405,Arroyo  David,1980,Spain,ONCE - Eroski,249,109,2003
4145,436,Kashechkin  Andrey,1980,Kazakhstan,Quick Step - Davitamon,232,250,2003
4179,470,Martinez  Egoi,1978,Spain,Euskaltel-Euskadi,212,57,2003
4180,470,Tiralongo  Paolo,1977,Italy,Panaria - Fiordo,212,359,2003
4182,473,Kroon  Karsten,1976,Netherlands,Rabobank,211,248,2003
4190,481,Zabriskie  David,1979,USA,US Postal p/b Berry Floor,207,48,2003
4220,511,Engels  Addy,1977,Netherlands,Rabobank,191,753,2003
4252,543,Gusev  Vladimir,1982,Russia,,178,482,2003
4270,560,Charteau  Anthony,1979,France,Brioches La Boulangère,170,677,2003
4273,560,Sutherland  Rory,1982,Australia,Rabobank TT3,170,1206,2003
4280,571,Gerrans  Simon,1980,Australia,Carvalhelhos - Boavista,167,339,2003
4281,571,Szmyd  Sylwester,1978,Poland,Mercatone Uno - Scanavino,167,360,2003
4316,607,Muravyev  Dmitriy,1979,Kazakhstan,Quick Step - Davitamon - Latexco,153,90,2003
4400,691,Pate  Danny,1979,USA,Prime Alliance Cycling Team,130,50,2003
4446,736,Wiggins  Bradley,1980,Great Britain,Fdjeux.com,117,47,2003
4500,791,Paulinho  Sergio,1980,Portugal,ASC - Vila do Conde,101,88,2003
4565,855,Lancaster  Brett,1979,Australia,Panaria - Fiordo,86,128,2003
4570,861,Sørensen  Nicki,1975,Denmark,Team CSC,85,16,2003
4571,861,Coyot  Arnaud,1980,France,Cofidis,85,115,2003
4610,900,Zandio  Xabier,1977,Spain,iBanesto.com,77,113,2003
4623,912,Gène  Yohann,1981,France,Vendee U - Pays de la Loire,74,904,2003
4628,919,Brajkovic  Janez,1983,Slovenia,,73,252,2003
4671,962,Visconti  Giovanni,1983,Italy,,66,486,2003
4707,997,López  David,1981,Spain,Labarca 2 - Cafe Baque,62,336,2003
4719,1006,Ten Dam  Laurens,1980,Netherlands,Rabobank TT3,60,80,2003
4736,1025,Clement  Stef,1982,Netherlands,Van Hemert Groep Cycling Team,58,81,2003
4737,1025,Renshaw  Mark,1982,Australia,SCO Dijon - Team Lapierre,58,97,2003
4782,1073,Vandborg  Brian,1981,Denmark,,53,135,2003
4843,1130,Tjallingii  Maarten,1977,Netherlands,Marco Polo Cycling Team,47,601,2003
4864,1155,Cummings  Steve,1981,Great Britain,,45,271,2003
4882,1173,Burghardt  Marcus,1983,Germany,,43,92,2003
4900,1190,Roy  Jérémy,1983,France,Fdjeux.com,42,106,2003
5077,1356,Willems  Frederik,1979,Belgium,Vlaandern - T-Interim,31,137,2003
5110,1399,Fischer  Murilo,1979,Brazil,,29,130,2003
5137,1419,Steegmans  Gert,1980,Belgium,Lotto - Domo,28,175,2003
