iter	Logloss
0	0.6741129981	1	0.6574837392	0.6399305755
3	0.62772722
4	0.6116029542
5	0.5986101594
6	0.5891305192
7	0.5791208818
8	0.5717936711
9	0.5657494809
10	0.5608313638
11	0.5557780119
12	0.5511569923
13	0.5432671298
114	0.5242096717115	0.518490062
16	0.5135230056
17	017	0.51069718	0.18	0.50671019	0.19	0.500448104
20	0.4977342622
21	0.4945120504
22	0.4927347648
23	0.4897172858
24	0.4874614641
25	0.4843692726
26	0.4813251656
27	0.4793368641
28	0.4779594272
29	0.4758602538
30	0.4739649156
31	0.4716266878
32	0.4698604295
33	0.4683473304
34	0.4668763746
35	0.4654609402
36	0.4639386516
37	0.4621217017
38	0.4610660243
39	0.4603199678
40	0.4601869984
41	0.4584232191
42	0.4580667106
43	0.4572943252
44	0.4556884766
45	0.4541658888
46	0.4531699643
47	0.4526953604
48	0.452327397
49	0.4516303225
50	0.45151	0.44951	0.45052	0.44752	0.4499579678
53	0.4494825091
54	0.455	0.4446655	0.456	0.4425556	0.457	0.4423157	0.458	0.4419531729
59	0.4410552551
60	0.4405104266
61	0.4395296327
62	0.4389786493
63	0.4375641126
64	0.4365785316
65	0.4365150174
66	0.4358503839
67	0.4356311189
68	0.4350030295
69	0.4338622534
70	0.4332831888
71	0.4325480314
72	0.4372	0.43573	0.4308505018
74	0.430268488
75	0.4298207686
76	0.4291287804
77	0.4287270084
78	0.42878	0.43079	0.42779	0.43080	0.42780	0.42981	0.42681	0.42982	0.4260297075
83	0.4253851199
84	0.4251443131
85	0.4285	0.428186	0.4248464889
87	0.4242245971
88	0.423954555
89	0.4289	0.426790	0.4290	0.426291	0.491	0.4261992	0.92	0.42551593	0.4222081289
94	0.4219234264
95	0.4218623057
96	0.4214940004
97	0.4212565703
98	0.4202165363
99	0.4199832521
100	0.4198578907
101	0.418958135
102	0.4186651834
103	0.418619407
104	0.4186187659
105	0.4177140094
106	0.4175069686
107	0.4172063234
108	0.416945941
109	0.4165968267
110	0.416086619
111	0.4160863198
112	0112	0.417666113	0113	0.417088114	0114	0.416984115	0115	0.416524116	0116	0.416506117	0117	0.416434118	0.4136545732
119	0119	0.416355120	0.412149424
121	0.4119836289
122	0.4113618226
123	0.123	0.41558124	0.4107626693
125	0.409539359
126	0.4092935087
127	0.4092744031
128	0.4089338372
129	0.4084722695
130	0.4083470363
131	0.4079979648
132	0.4071980538
133	0.4071979256
134	0.4071428742
135	0.4069447237
136	0.4058919527
137	0.4053379347
138	0.4046844568
139	0.4042657163
140	0.4037530295
141	0.4031434473
142	0.142	0.40659143	0.143	0.40610144	0.144	0.4059145	0.4145	0.4054146	0.4146	0.404147	0.39147	0.403148	0.148	0.40390149	0.149	0.4030150	0.3150	0.40151	0.397151	0.40152	0.395152	0.40153	0.39153	0.399154	0.39154	0.399155	0.39155	0.398156	0.39156	0.397157	0.39157	0.397158	0.38158	0.397159	0.38159	0.39160	0.388160	0.39161	0.38161	0.395162	0.38162	0.395163	0.3873589353
164	0.3866452343
165	0.38165	0.3931562493
166	0.3924217758
167	0.391170085
