iter	Passed	Remaining
0	0	382
1	4	984
2	6	921
3	7	791
4	10	818
5	11	744
6	14	820
7	15	758
8	16	719
9	17	700
10	18	658
11	19	623
12	20	601
13	21	14	21	556
15	22	542
16	23	532
1717	24	521818	25	511919	35	682
20	37	668
21	39	682
22	41	672
23	42	661
24	43	645
25	44	633
26	44	620
27	45	610
28	47	601
29	48	596
30	50	598
31	51	593
32	53	591
33	55	592
34	55	583
35	56	574
36	57	566
37	58	557
38	59	549
39	60	542
40	60	533
41	61	526
42	62	519
43	63	512
44	64	506
45	64	499
46	65	494
47	66	487
48	67	481
49	68	476
50	68	475151	69	465252	70	461
53	71	456
54	72	455555	72	445656	73	445757	74	4458	75	436
59	76	432
60	77	428
61	78	425
62	78	421
63	79	418
64	81	420
65	82	416
66	83	413
67	83	409
68	84	406
69	85	403
70	86	400
71	87	397
7272	88	3973	89	392
74	90	390
75	90	387
76	91	385
77	92	382
7878	93	377979	94	378080	95	378181	95	3782	96	370
83	97	367
84	98	365
8585	99	3686	100	359
87	100	357
88	101	355
889	102	352990	103	350991	104	348992	104	34693	105	343
94	106	343
95	107	340
96	108	338
97	109	336
98	110	334
99	110	332
100	111	330
101	112	328
102	113	326
103	114	324
104	114	322
105	115	320
106	116	318
107	117	316
108	118	315
109	119	313
110	120	312
111	120	310
1112	121	3081113	122	3071114	123	3051115	124	3041116	124	3021117	125	300118	126	298
1119	127	298120	128	296
121	129	294
122	130	292
1123	130	291124	131	290
125	132	289
126	133	287
127	134	285
128	135	284
129	136	282
130	136	281
131	137	279
132	138	278
133	139	276
134	140	275
135	140	273
136	141	271
137	142	270
138	143	268
139	144	267
140	144	266
141	145	265
1142	147	2641143	148	2631144	149	2621145	149	2601146	150	2591147	151	2581148	152	2571149	153	2561150	154	2541151	155	2531152	156	2521153	157	2511154	158	2491155	158	2481156	159	2471157	160	2451158	161	2441159	162	2431160	162	2411161	163	2401162	164	239163	165	237
164	166	236
1165	167	236
166	168	235
167	169	234
168	170	232
169	171	231
170	172	230
171	173	229
172	173	228
173	174	227
174	175	225
175	176	224
176	177	223
177	178	222
178	179	221
179	180	220
180	181	219
181	182	218
182	182	216
183	183	215
184	184	214
185	185	213
186	186	212
187	187	211
188	188	210
189	189	209
190	190	208
191	191	206
192	192	205
193	193	204
194	193	203
195	194	202
196	195	201
197	196	200
198	197	199
199	198	198
200	198	196
201	200	196
202	201	195
203	202	194
204	203	193
205	203	192
206	204	190
207	205	189
208	207	189
209	208	188
210	209	187
211	209	186
212	210	185
213	211	183
214	213	183
215	214	182
216	215	181
217	216	180
218	216	179
219	217	178
220	218	177
221	219	176
222	220	175
223	221	174
224	222	172
225	223	171
226	223	170
227	224	169
228	225	168
229	226	167
230	227	166
231	228	165
232	229	164
233	229	163
234	230	161
235	231	160
236	232	159
237	233	158
238	234	157
239	235	156
240	235	155
241	236	154
242	237	153
243	238	152
244	240	151
245	241	150
246	241	149
247	242	148
248	243	147
249	244	146
250	245	145
251	246	144
252	246	143
253	247	142
254	248	141
255	249	140
256	250	139
257	251	138
258	252	137
259	253	136
260	254	135
261	255	134
262	256	133
263	257	132
264	257	131
265	258	130
266	259	129
267	260	128
268	261	127
269	262	126
270	263	125
271	263	124
272	264	123
273	265	122
274	266	1212275	267	1202276	268	1192277	269	1182278	269	1172279	270	1152280	271	1152281	272	1142282	273	1132283	274	1122284	275	1102285	275	1092286	276	1082287	277	1072288	278	1062289	279	1052290	280	1042291	281	1042292	282	1032293	283	1022294	283	101
295	284	100
296	285	99
297	286	98
298	287	97
299	288	96
300	289	95
301	290	94
302	290	93
303	291	92
304	293	91
305	293	90
306	294	89
307	295	88
308	296	87
309	297	86
310	298	85
311	299	84
312	299	83
313	300	82
314	301	81
315	302	80
316	303	79
317	304	78
318	305	77
319	306	76
320	307	75
321	308	74
322	309	73
323	310	72
324	311	71
325	312	70
326	313	69
327	314	68
328	315	68
329	315	67
330	316	66
331	317	65
332	318	64
333	319	63
334	320	62
335	321	61
336	322	60
337	323	59
338	324	58
339	325	57
340	326	56
341	327	55
342	328	54
343	329	53
344	330	52
345	331	51
346	332	50
347	333	49
348	334	48
349	334	47
350	335	46
351	336	45
352	337	44
353	338	43
354	339	42
355	339	42
356	340	41
357	341	40
358	342	335359	343	336360	343	336361	345	36
362	346	35
363	347	34
364	348	33
365	349	32
366	350	31
367	351	30
368	352	29
369	352	28
370	353	27
371	354	26
372	355	25
373	356	24
374	356	23
375	357	22
376	358	21
377	359	20
378	360	19
379	361	19
380	361	18
381	362	17
382	363	16
383	364	15
384	365	14
385	366	13
386	367	12
387	367	11
388	368	10
389	369	9
390	370	8
391	371	7
392	372	6
393	373	5
394	374	4
395	375	3
396	376	2
397	377	1
398	378	0
399	379	0
